file_name,question
05x10x50x10F000591478N0042.png,what material is the door made from
05x10x00x00F000798181N0111.png,what is on your nightstand
05x10x20x05F002077367N0244.png,what is colors of right pillow
05x10x50x10F001600209N0171.png,how many chairs are there
05x10x20x05F002282635N0133.png,how many chair are there
05x10x50x10F000898642N0028.png,what is the color of sofa
05x10x20x05F001033915N0182.png,how many doors can you see in this picture
05x10x50x10F000117323N0066.png,how many picture frame are there
05x10x50x10F000898641N0239.png,what is lying on the floor
05x10x20x05F000457467N0042.png,is there a blackboard in the place
10x25x50x10F002012767N0081.png,where is this home furniture
10x25x20x05F000040911N0005.png,what color of bath clothes
05x10x20x05F002172631N0190.png,what is standing in the middle of the room
10x25x00x00F002225364N0026.png,what are the walls lined with
10x25x50x10F000391480N0010.png,how many doors
05x10x00x00F002543961N0118.png,what is on the bed
05x10x20x05F000653547N0042.png,how many meters is the ceiling
05x10x00x00F001600209N0102.png,is the door open or closed
05x10x20x05F000591479N0060.png,where did the hanging lamp located
05x10x00x00F002172630N0037.png,what is in the corner on the left side
05x10x20x05F000798178N0053.png,what is left to the bed
10x25x00x00F001306122N0055.png,how many doors are opened
10x25x50x10F000117323N0035.png,how many doors are there
05x10x20x05F002415592N0222.png,what's at the back of the room
05x10x00x00F000258801N0004.png,which side the door opens inside or outside
05x10x20x05F001568730N0004.png,is it painting
10x25x50x10F000503401N0015.png,how many windows are there
10x25x20x05F001000397N0036.png,what is in front of the table
05x10x20x05F001962769N0071.png,how many chairs are there per table
05x10x50x10F000457466N0036.png,is the door open
10x25x00x00F001710302N0024.png,how many pillows are there on the sofa
05x10x20x05F002237218N0046.png,what color is the wall
05x10x50x10F000653547N0227.png,how many doors this room have
05x10x00x00F001600209N0139.png,what color is the frame of the painting on the wall
05x10x00x00F001600209N0042.png,what's in the middle of the bed and the window
05x10x20x05F000898640N0004.png,what objects are drawn in the picture
10x25x20x05F001568730N0005.png,what is the color of the door seen
05x10x50x10F001242792N0030.png,what color is the wall
05x10x20x05F000457467N0082.png,how many chair can be seen inside the room
05x10x00x00F002225366N0083.png,how many door openings are shown in the picture
05x10x50x10F000200083N0302.png,what is appear on the wall
05x10x00x00F002444552N0039.png,how many drawers are in the picture
05x10x20x05F000591478N0200.png,what is to the right of table
05x10x50x10F001306122N0241.png,how many door handles are there
10x25x20x05F002444551N0069.png,how many wall frames are there
05x10x50x10F001242792N0190.png,how many chairs are there
10x25x00x00F000391480N0059.png,how many handles are in the picture
05x10x20x05F000898641N0076.png,how many pictures are there
05x10x20x05F001931684N0214.png,which painting on the wall
05x10x50x10F001962767N0139.png,what is the color of the wall
10x25x50x10F002237215N0064.png,is the door open
10x25x00x00F000457465N0072.png,what is at the corner of room
05x10x20x05F000898639N0326.png,what's the wall color
05x10x20x05F001600211N0069.png,how many chairs in the pic
05x10x50x10F000040909N0104.png,how many pillows
10x25x50x10F002172631N0029.png,what colour is the wall
05x10x20x05F000653545N0002.png,what is the color of the door
05x10x50x10F002172631N0214.png,what is on the left of the room
10x25x20x05F001306122N0045.png,what is to the back of chair
05x10x50x10F002172631N0034.png,what is opened
05x10x00x00F001810458N0024.png,what can you see in the mirror
05x10x50x10F000850481N0189.png,what is on top of bed
05x10x20x05F002415592N0082.png,how many chair in this room
10x25x00x00F000040909N0035.png,what is broken
05x10x50x10F001306120N0092.png,how many open doors can be seen clearly on the picture
05x10x50x10F001568730N0029.png,how many paintings are on the right wall
05x10x20x05F002012767N0177.png,which colour of this room
05x10x00x00F002415592N0148.png,what's the door made of
05x10x50x10F001846225N0019.png,how many plant vase can be seen in the area
05x10x20x05F002543961N0074.png,where is the window located
05x10x20x05F001403391N0244.png,how many doors are there
05x10x50x10F000898641N0319.png,what is the odd color
10x25x20x05F000653547N0090.png,what is to the left
05x10x20x05F002237215N0132.png,how many pillows are there on the sofa
05x10x20x05F000391480N0052.png,is roof light is on
05x10x20x05F001511323N0076.png,what objects are in the room
05x10x50x10F000798180N0161.png,what is on the right side of the mirror
05x10x20x05F002444552N0092.png,it is a bathroom
05x10x00x00F002012767N0025.png,what is the color of the cabinets
05x10x50x10F000653548N0067.png,how many chairs are there in the picture
05x10x20x05F001033916N0206.png,where the arrow on the door points
05x10x00x00F001931685N0108.png,color of the tongue
05x10x50x10F000754497N0090.png,can you see the blue paints
05x10x50x10F001962769N0146.png,what color is the door
05x10x50x10F001962767N0039.png,how many pillers are there
05x10x00x00F000653549N0135.png,how many chairs can you see in the photo
05x10x50x10F001810458N0053.png,what is on the table
05x10x50x10F002077367N0173.png,what is the colour of the sofa
10x25x50x10F001000396N0016.png,what's in the middle of the room
05x10x50x10F002415592N0068.png,what is the color of the chairs
05x10x50x10F001931685N0152.png,what color is the object on the wall
05x10x00x00F000898642N0042.png,what is on the wall
05x10x00x00F002415593N0195.png,what colour is the floor
05x10x00x00F001511326N0064.png,how many pillows are there
10x25x50x10F000798179N0010.png,what is on the wall
05x10x50x10F000258801N0172.png,what color is the wardrobe
05x10x50x10F000258803N0012.png,what's to the right of the sofa
05x10x00x00F001962766N0173.png,which music object can be seen from the above
05x10x50x10F000850483N0269.png,what colour are the walls
05x10x00x00F001962767N0092.png,what is on the right
10x25x20x05F002415594N0016.png,which way is the television pointing
10x25x50x10F002225363N0007.png,how many beds are there in the room
05x10x20x05F002237219N0246.png,how many cushions
10x25x50x10F001033916N0051.png,what's with the panel
10x25x50x10F000117323N0075.png,what is on the right
05x10x00x00F001085850N0014.png,what's next to the washing machine
10x25x20x05F002118319N0054.png,how many chairs are in front of the wall
05x10x50x10F001846227N0279.png,how many pictures are there on the wall to your right hand side
10x25x00x00F000898639N0145.png,what is hanging on the wall
05x10x00x00F000457464N0051.png,where is the door in relation to the mirror
05x10x50x10F002225366N0123.png,what's the color of the stairs
05x10x50x10F001511322N0087.png,what it is on the wall
05x10x00x00F001962766N0093.png,how many doors are here
05x10x20x05F002543963N0087.png,what color is the plant
10x25x00x00F001000394N0050.png,how many trees do you see
05x10x20x05F000391480N0252.png,what is to the right of the window
10x25x00x00F000457466N0044.png,what's inside the room
05x10x00x00F001000393N0120.png,construction material
05x10x20x05F000653548N0125.png,what is the color of the floor
05x10x20x05F002172631N0150.png,where are the stairs
10x25x00x00F000457464N0056.png,what's on the wall
05x10x20x05F001242792N0123.png,what is this beside the bed
05x10x00x00F000457465N0122.png,which color is the wall
10x25x20x05F000798178N0055.png,what is the color of the cabinet
05x10x20x05F000117324N0009.png,where is the door mat
10x25x00x00F000391480N0079.png,what's behind those objects
05x10x00x00F000754495N0072.png,how many paintings are there on the wall
05x10x20x05F001710302N0092.png,how many chairs are there
10x25x50x10F002225367N0001.png,how many bed are there in room
05x10x20x05F001306122N0204.png,what can be seen in the back of the chair
10x25x00x00F001306123N0024.png,what is color of stairs
10x25x00x00F002012767N0083.png,what's on the wall
05x10x50x10F000040911N0084.png,what is the colour of the armchair
05x10x50x10F000798181N0033.png,what's the table made of
05x10x50x10F001033916N0322.png,is the door closed or open
10x25x00x00F002543965N0084.png,are these objects distortioned in the photo
05x10x50x10F002077367N0213.png,curtains color
05x10x00x00F001403389N0267.png,what are the walls made of
05x10x50x10F001931684N0089.png,where are nearest visible the plants
05x10x00x00F001306120N0055.png,what are the colors of the stairs
05x10x00x00F002282635N0006.png,what is the condition of the property
05x10x50x10F002494046N0079.png,how many doors are there
05x10x00x00F001033916N0006.png,what color is the door
05x10x00x00F002444551N0136.png,what you see infront of the window
05x10x50x10F001367108N0097.png,what is to the right of the sofa
10x25x20x05F000798178N0095.png,how many drawers
05x10x20x05F001000394N0152.png,how many boards are there
10x25x00x00F001242790N0048.png,is there any window in the room
05x10x50x10F001511323N0108.png,what is on the wall
05x10x50x10F000898641N0139.png,how many holes on the door
05x10x00x00F000798179N0015.png,what is to the right of the sofa
10x25x00x00F001403389N0052.png,how many big seats
05x10x50x10F001568728N0085.png,how many windows are there
10x25x50x10F001367108N0012.png,how many plants are in room
05x10x50x10F000040911N0044.png,what is hanging there
05x10x20x05F000457467N0122.png,what is in the room
05x10x00x00F002172631N0172.png,what is right towards the stairs
05x10x50x10F000931038N0049.png,what is colour of the stair case
05x10x00x00F001962766N0153.png,how many chairs do you see
05x10x20x05F002444551N0141.png,where is the table
05x10x20x05F001306122N0075.png,how many chairs are there
05x10x50x10F001242790N0058.png,how many doors are in this image
05x10x50x10F002444551N0025.png,where is the plant respective to the door
05x10x50x10F002172629N0123.png,colour of the floor
05x10x00x00F002543961N0078.png,how many doors are visible in the picture
05x10x20x05F001511326N0096.png,where did the bike placed
05x10x50x10F002237219N0100.png,what color are the walls
10x25x00x00F001403391N0049.png,how many curtains do you see
05x10x20x05F001306122N0035.png,what color is the carpet
10x25x00x00F000200083N0103.png,what is betwee the walls
05x10x00x00F000258803N0058.png,what's the thing to the left of the chair
05x10x50x10F001033916N0202.png,what colour are the doors
10x25x50x10F000457464N0014.png,does the door left open
05x10x20x05F000931038N0070.png,what color are the stairs
10x25x50x10F002415592N0109.png,what is on the wall
05x10x50x10F001033916N0182.png,how many doors can you see
05x10x20x05F000117323N0187.png,what is on the wall
05x10x20x05F001511322N0029.png,is it restaurant
10x25x50x10F001846225N0047.png,what is the colour of the sheet
05x10x50x10F001931685N0092.png,what is the color of lips
05x10x00x00F000457467N0096.png,what color is the couch
05x10x20x05F002415594N0021.png,what colour is tge floor
05x10x20x05F001000396N0116.png,what are next to table
05x10x50x10F001710302N0077.png,how many refrigerators are there in the kitchen
05x10x00x00F001033915N0160.png,how many doors are there
05x10x20x05F001568731N0131.png,what element is hanging in the left side of the hall
05x10x20x05F001962766N0030.png,how many door are there in this image
05x10x00x00F000117324N0087.png,what is the left of the ladder
05x10x50x10F002077367N0313.png,what is hanging on wall
10x25x20x05F002172630N0027.png,how many doorways are there
10x25x20x05F000040911N0045.png,what is the colour of the wall with the painting
05x10x20x05F001000397N0033.png,what is on the table
10x25x00x00F001846227N0027.png,how many chairs see
10x25x20x05F001962767N0084.png,what is opposite to the door
05x10x20x05F002225366N0001.png,how many beds are in the room
05x10x50x10F000653549N0107.png,how many columns are there
05x10x50x10F000503401N0215.png,what is on the right wall
05x10x00x00F002077367N0199.png,what is the kitchen wall color
05x10x50x10F000391480N0079.png,what is the colour of the wall
05x10x50x10F001242791N0192.png,what's standing on the wall
05x10x20x05F001511323N0096.png,is there a world map on the wall
10x25x20x05F001000396N0057.png,how many wooden chairs are there in the photo
05x10x00x00F000117322N0080.png,what is laying on the table
10x25x20x05F000117322N0006.png,how many steps are there
10x25x50x10F001000394N0073.png,what is the wall made of
05x10x00x00F000591478N0089.png,what is the brown thing
05x10x50x10F000353298N0182.png,how many seats are there
05x10x20x05F000898640N0124.png,which among the doors is shut
05x10x00x00F000653547N0116.png,how many chairs in the room
05x10x50x10F001962766N0182.png,how many showcase in the hall
05x10x50x10F000850483N0309.png,what time is it
05x10x00x00F000353298N0120.png,what's in the front
10x25x20x05F000754494N0003.png,what is the colour of curtains
05x10x00x00F001710302N0071.png,is there an oven in the kitchen
05x10x50x10F000353298N0002.png,how many objects are in the image
05x10x50x10F000653548N0047.png,is it a church
05x10x20x05F002012767N0157.png,what is next to the mirror
10x25x20x05F000754497N0033.png,how many pictures on the wall
05x10x50x10F001403391N0037.png,what  is the position of the purple flower
05x10x00x00F000591477N0098.png,how many chair do you see
05x10x50x10F000653547N0147.png,what's the colour of the carpet
10x25x00x00F001710306N0004.png,where is the outlet
10x25x20x05F000653547N0030.png,how many seceneries exist in the picture
10x25x20x05F001033916N0002.png,how many lights are there
05x10x00x00F000798178N0138.png,what's on the bed
05x10x20x05F000457464N0122.png,how many televisions are in the photo
05x10x50x10F001710306N0096.png,how many chairs on the picture
05x10x50x10F002444552N0156.png,what's against the wall
05x10x00x00F000798179N0035.png,whats on the desk
05x10x20x05F002543965N0066.png,what colour is the floor
05x10x20x05F000117324N0229.png,what's on the floor
05x10x50x10F000898641N0199.png,what colour is the carpet
10x25x20x05F000258801N0031.png,what is showing on television
05x10x20x05F000898640N0204.png,how many flower pots are there
10x25x50x10F002172629N0026.png,what is on the right of the photo
05x10x00x00F001306122N0017.png,what is color or carpet
05x10x20x05F001568732N0160.png,what is above the bed
05x10x20x05F002415593N0249.png,what is hanging on the wall
05x10x50x10F000353298N0082.png,what color is the wall
05x10x50x10F001511326N0120.png,what is to the left of the image
05x10x50x10F000850482N0238.png,how many paintings are hung on the wall
05x10x50x10F000591479N0203.png,what is in front of the porch
05x10x00x00F000457465N0162.png,how many mirrors are there in the room
05x10x00x00F000391480N0294.png,what colour is the wardrobe
05x10x50x10F000117322N0045.png,what are those on the wall
10x25x50x10F000503401N0035.png,what is the viewer facing in front of themselves
10x25x20x05F000353298N0002.png,what is the thing in the corner
10x25x00x00F001000394N0010.png,what is this
05x10x20x05F001403391N0184.png,what color is the armchair
10x25x20x05F001846225N0058.png,what's on the wall
05x10x50x10F000040911N0064.png,what is to the right of the sofa
05x10x20x05F002172630N0047.png,what is lying near to the table
10x25x50x10F002077367N0053.png,whats up ahead to the right
05x10x20x05F002543963N0127.png,what is to the left of the door
05x10x50x10F000931038N0129.png,where is the door
05x10x20x05F001568728N0125.png,what colour is the door
05x10x20x05F001600209N0178.png,how many chairs are there in the picture
05x10x00x00F001710302N0051.png,how many chairs are you seeing in the photo
05x10x50x10F001962767N0159.png,what is the color of the floor
10x25x50x10F000798180N0022.png,what is on the table next to the flowers
05x10x00x00F002237218N0150.png,what colour are the walls
10x25x50x10F000850483N0139.png,how many windows in the picture
10x25x20x05F001033915N0073.png,is the corridor wide or narrow
10x25x50x10F000931038N0110.png,what is on top of the cabinet
10x25x50x10F001242790N0018.png,what is the color of the floor
10x25x20x05F002415591N0005.png,what is lying on the table
10x25x50x10F002415594N0022.png,what is it on the wall to the left of the picture
05x10x00x00F000457464N0151.png,which word is written on the poster
10x25x50x10F000850482N0140.png,where is the chair
05x10x00x00F002543963N0082.png,what color is the dor
10x25x50x10F000457465N0043.png,how many chairs are visible in this image
10x25x50x10F002543965N0061.png,how many tables
05x10x00x00F002543965N0101.png,what  is to the left of the frame
05x10x00x00F000591481N0202.png,what is in front of door
05x10x50x10F000798180N0041.png,how many chair in the photo
05x10x20x05F000798179N0043.png,what is the right of the table
05x10x50x10F002077367N0193.png,how many canvas in this picture
05x10x50x10F002543963N0159.png,which symbol is present on the front wall
05x10x00x00F000931038N0004.png,what's the color of windows grilles
05x10x20x05F000040909N0024.png,what is located under the mirror
05x10x00x00F001846227N0002.png,how many wall paintings are there in left side
05x10x20x05F001846227N0215.png,how many painting are there
05x10x50x10F001306123N0003.png,what's the color of the sofa
05x10x20x05F001033915N0202.png,what color is the door
10x25x50x10F000591479N0011.png,how many pillars are there in this picture
05x10x00x00F002225364N0118.png,what is on  the right
05x10x00x00F002172631N0032.png,what is on the ceiling
05x10x00x00F000898640N0075.png,what's hanging on the wall
05x10x00x00F001220361N0031.png,is there anything hanging on wall
10x25x00x00F001568728N0056.png,how many lamps beside the bed
10x25x50x10F001220361N0056.png,which type of doors seen in the picture
10x25x50x10F002415592N0009.png,which color are the chairs
10x25x20x05F000457465N0064.png,what is behind of a chair
05x10x20x05F000353298N0040.png,what color is the table
05x10x50x10F002494042N0194.png,what is it the next to the wall
05x10x20x05F000798180N0034.png,what is it on the wall
05x10x00x00F001403391N0044.png,what's on the wall
05x10x50x10F001710302N0097.png,what is to the left of a cooker
05x10x50x10F002225367N0043.png,how many doors do you see open
10x25x00x00F001600210N0019.png,how many chairs are in this photo
05x10x50x10F000040910N0125.png,what is on your right
05x10x00x00F000653549N0015.png,how many columns are on the photo
05x10x00x00F001306122N0117.png,whats up ahead
05x10x50x10F001846227N0319.png,what is on the wall
10x25x20x05F000353298N0042.png,are there any furniture
05x10x00x00F000898639N0236.png,where is televison
10x25x00x00F001306122N0035.png,what is there between the arms chairs
10x25x00x00F001367109N0015.png,how many chiard are there
10x25x20x05F000040910N0067.png,what is on the chair
05x10x50x10F000391478N0114.png,how many chair in this photo
10x25x50x10F000457464N0074.png,what is there on the right/
05x10x50x10F002444552N0096.png,how many doorknobs
05x10x50x10F001306123N0083.png,what element can be identified in the top left of the picture
05x10x50x10F001033915N0167.png,how many doors in the picture
05x10x50x10F000591478N0182.png,how many wall lamps are there
05x10x50x10F001846223N0057.png,what piece of furniture is to the right of the armchair
05x10x20x05F002077367N0204.png,where is the table
05x10x50x10F000898639N0319.png,what is in front of the bed
05x10x50x10F000702887N0018.png,how many trees grows there
10x25x20x05F001658019N0009.png,where is the picture
10x25x20x05F000798180N0039.png,what element is hanging on the wall behind the bed
05x10x50x10F001000397N0073.png,how many sunbathe chairs in the room
10x25x50x10F001306120N0032.png,how many stairways are on the picture
05x10x50x10F002118319N0058.png,what is it in front of the door
05x10x00x00F000850483N0193.png,what is it
05x10x00x00F002237219N0147.png,what colour are the curtains
10x25x00x00F001710302N0044.png,is there any light on the wall
05x10x50x10F000898641N0079.png,what is that on wall
05x10x50x10F001658019N0250.png,what color of the sofa
05x10x50x10F001568728N0105.png,is the door open
10x25x50x10F001511325N0029.png,how many pillows are there on the chair
05x10x20x05F001367108N0003.png,how many televisions are in the image
05x10x20x05F000898640N0284.png,what is hanging on the wall
05x10x50x10F002225366N0143.png,what's on the wall
10x25x20x05F000148666N0049.png,is it wooden walls
05x10x00x00F002172631N0132.png,what element can be visible in the top right
05x10x50x10F000457466N0056.png,what is to the right
05x10x00x00F000391480N0054.png,how many ceiling light are there
05x10x00x00F000898639N0196.png,what is it on the floor
10x25x20x05F000503401N0022.png,what is this room
05x10x20x05F000898639N0026.png,how many doors are there
05x10x20x05F001511326N0016.png,how many chairs can you see in the room
05x10x00x00F000653548N0018.png,what color is the wall
10x25x20x05F002237218N0059.png,how many steps is the ladder
10x25x20x05F002543963N0024.png,where is the wall
10x25x20x05F000391480N0058.png,what is color of furniture
10x25x50x10F000898639N0046.png,how many glass doors are there
05x10x20x05F000898640N0264.png,which item fixed on the wall
05x10x50x10F001931684N0209.png,what color are the lips on the wall
05x10x20x05F000040910N0119.png,what's on the couch
10x25x50x10F001658020N0074.png,does the room have a window
05x10x00x00F001000396N0042.png,what is there behind the table
05x10x20x05F000353298N0140.png,how many windows there are
10x25x00x00F000148666N0018.png,what is the material used
05x10x00x00F001242791N0016.png,color of the wall
05x10x50x10F000117321N0071.png,what do you see in this place
05x10x50x10F002415594N0051.png,what is color of carpet
05x10x00x00F001568732N0061.png,what's in the hallway
05x10x00x00F002494046N0105.png,what is the color of the floor
10x25x00x00F000850482N0099.png,is the door in this image open or closed
05x10x50x10F000653547N0047.png,how mamy picture frames are there
05x10x00x00F001962766N0053.png,how many doors are there
05x10x20x05F001962766N0170.png,how many chairs do do you have to the front view
05x10x50x10F001242792N0170.png,what is the color of the wall
10x25x20x05F001306120N0012.png,what is to the right of the stairs
05x10x00x00F001220361N0091.png,what is standing next to her
05x10x50x10F002172630N0097.png,what colour are the chairs
10x25x00x00F001568732N0032.png,how many window on the picture
05x10x50x10F000117322N0145.png,how many tables are there
05x10x20x05F001962767N0193.png,what is next to the sofa
05x10x50x10F001306123N0123.png,what is to the left of the door
10x25x20x05F001931685N0078.png,where is the plant
10x25x00x00F002172631N0096.png,how many doors are there
05x10x50x10F001403389N0158.png,how many chairs it has
05x10x00x00F001600210N0038.png,how many chairs are there
05x10x00x00F000148666N0143.png,what is behind the canvass
05x10x00x00F002494042N0046.png,how many mirrors can be seen in the picture
05x10x20x05F000040912N0087.png,what is lying on the sofa
05x10x20x05F002237219N0226.png,what colour of the door in photo
05x10x00x00F000653549N0175.png,how many vase are there
05x10x50x10F001846227N0299.png,how many paintings are hanging on the right side of the hall
05x10x20x05F001000393N0045.png,what color are the chairs
05x10x50x10F000798178N0027.png,how many doors
05x10x00x00F002494046N0085.png,what is the clour of the room
05x10x20x05F000391480N0192.png,what is the color of bed sheet
05x10x20x05F002237218N0126.png,what is the color of floor
